1066;7;12
1067;7;12
1068;7;12
1069;7;12
1070;7;12
1071;7;12
1072;7;12
1073;7;12
1074;7;12
1075;7;12
1076;7;12
1077;7;12
1078;7;12
1079;7;12
1080;7;12
1081;7;12
1082;7;12
1083;7;12
1084;7;12
1085;7;12
1086;7;12
1087;7;12
1088;7;12
1089;7;12
1090;7;12
1091;7;12
1092;7;12
1093;7;12
1094;7;12
1095;7;12
1096;7;12
1097;7;12
1098;7;12
1099;7;12
1100;7;12
1101;7;12
1102;7;12
1103;7;12
1104;7;12
1105;7;12
1106;7;12
1107;7;12
1108;7;12
1109;7;12
1110;7;12
1111;7;12
1112;7;12
1113;7;12
1114;7;12
1115;7;12
1116;7;12
1117;7;12
1118;7;12
1119;7;12
1120;7;12
1121;7;12
1122;7;12
1123;7;12
1124;7;12
1125;7;12
1126;7;12
1127;7;12
1128;7;12
1129;7;12
1130;7;12
1131;7;12
1132;7;12
1133;7;12
1134;7;12
1135;7;12
1136;7;12
1137;7;12
1138;7;12
1139;7;12
1140;7;12
1141;7;12
1142;7;12
1143;7;12
1144;7;12
1145;7;12
1146;7;12
1147;7;12
1148;7;12
1149;7;12
1150;7;12
1151;7;12
1152;7;12
1153;7;12
1154;7;12
1155;7;12
1156;7;12
1157;7;12
1158;7;12
1159;7;12
1160;7;12
1161;7;12
1162;7;12
1163;7;12
1164;7;12
1165;7;12
1166;7;12
1167;7;12
1168;7;12
1169;7;12
1170;7;12
1171;7;12
1172;7;12
1173;7;12
1174;7;12
1175;7;12
1176;7;12
1177;7;12
1178;7;12
1179;7;12
1180;7;12
1181;7;12
1182;7;12
1183;7;12
1184;7;12
1185;7;12
1186;7;12
1187;7;12
1188;7;12
1189;7;12
1190;7;12
1191;7;12
1192;7;12
1193;7;12
1194;7;12
1195;7;12
1196;7;12
1197;7;12
1198;7;12
1199;7;12
1200;7;12
1201;7;12
1202;7;12
1203;7;12
1204;7;12
1205;7;12
1206;7;12
1207;7;12
1208;7;12
1209;7;12
1210;7;12
1211;7;12
1212;7;12
1213;7;12
1214;7;12
1215;7;12
1216;7;12
1217;7;12
1218;7;12
1219;7;12
1220;7;12
1221;7;12
1222;7;12
1223;7;12
1224;7;12
1225;7;12
1226;7;12
1227;7;12
1228;7;12
1229;7;12
1230;7;12
1231;7;12
1232;7;12
1233;7;12
1234;7;12
1235;7;12
1236;7;12
1237;7;12
1238;7;12
1239;7;12
1240;7;12
1241;7;12
1242;7;12
1243;7;12
1244;7;12
1245;7;11
1246;7;10
1247;7;9
1248;6;9
1249;5;9
1250;5;8
1251;5;8
1252;5;8
1253;5;8
1254;5;7
1255;5;6
1256;5;6
1257;5;6
1258;5;5
1259;5;5
1260;5;5
1261;5;5
1262;5;5
1263;5;5
1264;5;5
1265;5;5
1266;5;5
1267;5;5
1268;5;5
1269;5;5
1270;4;5
1271;4;5
1272;4;4
1273;4;4
1274;4;4
1275;4;4
1276;4;3
1277;4;3
1278;4;3
1279;4;3
1280;4;3
1281;4;3
1282;4;3
1283;4;3
1284;4;3
1285;4;3
1286;4;3
1287;4;3
1288;4;3
1289;4;3
1290;4;3
1291;4;1
1292;4;1
1293;4;1
1294;4;1
1295;4;1
1296;4;1
1297;4;0
1298;4;0
1299;4;0
1300;4;0
1301;4;0
1302;4;0
1303;4;0
1304;4;0
1305;4;0
1306;4;0
1307;4;0
1308;4;0
1309;4;0
1310;4;0
1311;4;0
1312;4;0
1313;4;0
1314;4;0
1315;4;0
1316;4;0
1317;4;0
1318;3;0
1319;3;0
1320;2;0
1321;2;0
1322;2;0
1323;2;0
1324;2;0
1325;2;0
1326;2;0
1327;2;0
1328;2;0
1329;2;0
1330;2;0
1331;2;0
1332;2;0
1333;2;0
1334;2;0
1335;2;0
1336;2;0
1337;2;0
1338;2;0
1339;2;0
1340;2;0
1341;2;0
1342;2;0
1343;2;0
1344;2;0
1345;2;0
1346;2;0
1347;2;0
1348;2;0
1349;2;0
1350;2;0
1351;2;0
1352;2;0
1353;2;0
1354;2;0
1355;2;0
1356;2;0
1357;2;0
1358;2;0
1359;2;0
1360;2;0
1361;2;0
1362;2;0
1363;2;0
1364;2;0
1365;2;0
1366;2;0
1367;2;0
1368;2;0
1369;2;0
1370;2;0
1371;2;0
1372;1;0
1373;1;0
1374;1;0
1375;1;0
1376;1;0
1377;1;0
1378;1;0
1379;1;0
1380;1;0
1381;1;0
1382;1;0
1383;1;0
1384;1;0
1385;1;0
1386;1;0
1387;1;0
1388;1;0
1389;1;0
1390;1;0
1391;1;0
1392;1;0
1393;1;0
1394;1;0
1395;1;0
1396;1;0
1397;1;0
1398;1;0
1399;1;0
1400;1;0
1401;1;0
1402;1;0
1403;1;0
1404;1;0
1405;1;0
1406;1;0
1407;1;0
1408;1;0
1409;1;0
1410;1;0
1411;1;0
1412;1;0
1413;1;0
1414;0;0
1415;0;0
1416;0;0
1417;0;0
1418;0;0
1419;0;0
1420;0;0
1421;0;0
1422;0;0
1423;0;0
1424;0;0
1425;0;0
1426;0;0
1427;0;0
1428;0;0
1429;0;0
1430;0;0
1431;0;0
1432;0;0
1433;0;0
1434;0;0
1435;0;0
1436;0;0
1437;0;0
1438;0;0
1439;0;0
1440;0;0
1441;0;0
1442;0;0
1443;0;0
1444;0;0
1445;0;0
1446;0;0
1447;0;0
1448;0;0
1449;0;0
1450;0;0
1451;0;0
1452;0;0
1453;0;0
1454;0;0
1455;0;0
1456;0;0
1457;0;0
1458;0;0
1459;0;0
1460;0;0
1461;0;0
1462;0;0
1463;0;0
1464;0;0
1465;0;0
1466;0;0
1467;0;0
1468;0;0
1469;0;0
1470;0;0
1471;0;0
1472;0;0
1473;0;0
1474;0;0
1475;0;0
1476;0;0
1477;0;0
1478;0;0
1479;0;0
1480;0;0
1481;0;0
1482;0;0
1483;0;0
1484;0;0
1485;0;0
1486;0;0
1487;0;0
1488;0;0
1489;0;0
1490;0;0
1491;0;0
1492;0;0
1493;0;0
1494;0;0
1495;0;0
1496;0;0
1497;0;0
1498;0;0
1499;0;0
1500;0;0
1501;0;0
1502;0;0
1503;0;0
1504;0;0
1505;0;0
1506;0;0
1507;0;0
1508;0;0
1509;0;0
1510;0;0
1511;0;0
1512;0;0
1513;0;0
1514;0;0
1515;0;0
1516;0;0
1517;0;0
1518;0;0
1519;0;0
1520;0;0
1521;0;0
1522;0;0
1523;0;0
1524;0;0
1525;0;0
1526;0;0
1527;0;0
1528;0;0
1529;0;0
1530;0;0
1531;0;0
1532;0;0
1533;0;0
1534;0;0
1535;0;0
1536;0;0
1537;0;0
1538;0;0
1539;0;0
1540;0;0
1541;0;0
1542;0;0
1543;0;0
1544;0;0
1545;0;0
1546;0;0
1547;0;0
1548;0;0
1549;0;0
1550;0;0
1551;0;0
1552;0;0
1553;0;0
1554;0;0
1555;0;0
1556;0;0
1557;0;0
1558;0;0
1559;0;0
1560;0;0
1561;0;0
1562;0;0
1563;0;0
1564;0;0
1565;0;0
1566;0;0
1567;0;0
1568;0;0
1569;0;0
1570;0;0
1571;0;0
1572;0;0
1573;0;0
1574;0;0
1575;0;0
1576;0;0
1577;0;0
1578;0;0
1579;0;0
1580;0;0
1581;0;0
1582;0;0
1583;0;0
1584;0;0
1585;0;0
1586;0;0
1587;0;0
1588;0;0
1589;0;0
1590;0;0
1591;0;0
1592;0;0
1593;0;0
1594;0;0
1595;0;0
1596;0;0
1597;0;0
1598;0;0
1599;0;0
1600;0;0
1601;0;0
1602;0;0
1603;0;0
1604;0;0
1605;0;0
1606;0;0
1607;0;0
1608;0;0
1609;0;0
1610;0;0
1611;0;0
1612;0;0
1613;0;0
1614;0;0
1615;0;0
1616;0;0
1617;0;0
1618;0;0
1619;0;0
1620;0;0
1621;0;0
1622;0;0
1623;0;0
1624;0;0
1625;0;0
1626;0;0
1627;0;0
1628;0;0
1629;0;0
1630;0;0
1631;0;0
1632;0;0
1633;0;0
1634;0;0
1635;0;0
1636;0;0
1637;0;0
1638;0;0
1639;0;0
1640;0;0
1641;0;0
1642;0;0
1643;0;0
1644;0;0
1645;0;0
1646;0;0
1647;0;0
1648;0;0
1649;0;0
1650;0;0
1651;0;0
1652;0;0
1653;0;0
1654;0;0
1655;0;0
1656;0;0
1657;0;0
1658;0;0
1659;0;0
1660;0;0
1661;0;0
1662;0;0
1663;0;0
1664;0;0
1665;0;0
1666;0;0
1667;0;0
1668;0;0
1669;0;0
1670;0;0
1671;0;0
1672;0;0
1673;0;0
1674;0;0
1675;0;0
1676;0;0
1677;0;0
1678;0;0
1679;0;0
1680;0;0
1681;0;0
1682;0;0
1683;0;0
1684;0;0
1685;0;0
1686;0;0
1687;0;0
1688;0;0
1689;0;0
1690;0;0
1691;0;0
1692;0;0
1693;0;0
1694;0;0
1695;0;0
1696;0;0
1697;0;0
1698;0;0
1699;0;0
1700;0;0
1701;0;0
1702;0;0
1703;0;0
1704;0;0
1705;0;0
1706;0;0
1707;0;0
1708;0;0
1709;0;0
1710;0;0
1711;0;0
1712;0;0
1713;0;0
1714;0;0
1715;0;0
1716;0;0
1717;0;0
1718;0;0
1719;0;0
1720;0;0
1721;0;0
1722;0;0
1723;0;0
1724;0;0
1725;0;0
1726;0;0
1727;0;0
1728;0;0
1729;0;0
1730;0;0
1731;0;0
1732;0;0
1733;0;0
1734;0;0
1735;0;0
1736;0;0
1737;0;0
1738;0;0
1739;0;0
1740;0;0
1741;0;0
1742;0;0
1743;0;0
1744;0;0
1745;0;0
1746;0;0
1747;0;0
1748;0;0
1749;0;0
1750;0;0
1751;0;0
1752;0;0
1753;0;0
1754;0;0
1755;0;0
1756;0;0
1757;0;0
1758;0;0
1759;0;0
1760;0;0
1761;0;0
1762;0;0
1763;0;0
1764;0;0
1765;0;0
1766;0;0
1767;0;0
1768;0;0
1769;0;0
1770;0;0
1771;0;0
1772;0;0
1773;0;0
1774;0;0
1775;0;0
1776;0;0
1777;0;0
1778;0;0
1779;0;0
1780;0;0
1781;0;0
1782;0;0
1783;0;0
1784;0;0
1785;0;0
1786;0;0
1787;0;0
1788;0;0
1789;0;0
1790;0;0
1791;0;0
1792;0;0
1793;0;0
1794;0;0
1795;0;0
1796;0;0
1797;0;0
1798;0;0
1799;0;0
1800;0;0
1801;0;0
1802;0;0
1803;0;0
1804;0;0
1805;0;0
1806;0;0
1807;0;0
1808;0;0
1809;0;0
1810;0;0
1811;0;0
1812;0;0
1813;0;0
1814;0;0
1815;0;0
1816;0;0
1817;0;0
1818;0;0
1819;0;0
1820;0;0
1821;0;0
1822;0;0
1823;0;0
1824;0;0
1825;0;0
1826;0;0
1827;0;0
1828;0;0
1829;0;0
1830;0;0
1831;0;0
1832;0;0
1833;0;0
1834;0;0
1835;0;0
1836;0;0
1837;0;0
1838;0;0
1839;0;0
1840;0;0
1841;0;0
1842;0;0
1843;0;0
1844;0;0
1845;0;0
1846;0;0
1847;0;0
1848;0;0
1849;0;0
1850;0;0
1851;0;0
1852;0;0
1853;0;0
1854;0;0
1855;0;0
1856;0;0
1857;0;0
1858;0;0
1859;0;0
1860;0;0
1861;0;0
1862;0;0
1863;0;0
1864;0;0
1865;0;0
1866;0;0
1867;0;0
1868;0;0
1869;0;0
1870;0;0
1871;0;0
1872;0;0
1873;0;0
1874;0;0
1875;0;0
1876;0;0
1877;0;0
1878;0;0
1879;0;0
1880;0;0
1881;0;0
1882;0;0
1883;0;0
1884;0;0
1885;0;0
1886;0;0
1887;0;0
1888;0;0
1889;0;0
1890;0;0
1891;0;0
1892;0;0
1893;0;0
1894;0;0
1895;0;0
1896;0;0
1897;0;0
1898;0;0
1899;0;0
1900;0;0
1901;0;0
1902;0;0
1903;0;0
1904;0;0
1905;0;0
1906;0;0
1907;0;0
1908;0;0
1909;0;0
1910;0;0
1911;0;0
1912;0;0
1913;0;0
1914;0;0
1915;0;0
1916;0;0
1917;0;0
1918;0;0
1919;0;0
1920;0;0
1921;0;0
1922;0;0
1923;0;0
1924;0;0
1925;0;0
1926;0;0
1927;0;0
1928;0;0
1929;0;0
1930;0;0
1931;0;0
1932;0;0
1933;0;0
1934;0;0
1935;0;0
1936;0;0
1937;0;0
1938;0;0
1939;0;0
1940;0;0
1941;0;0
1942;0;0
1943;0;0
1944;0;0
1945;0;0
1946;0;0
1947;0;0
1948;0;0
1949;0;0
1950;0;0
1951;0;0
1952;0;0
1953;0;0
1954;0;0
1955;0;0
1956;0;0
1957;0;0
1958;0;0
1959;0;0
1960;0;0
1961;0;0
1962;0;0
1963;0;0
1964;0;0
1965;0;0
1966;0;0
1967;0;0
1968;0;0
1969;0;0
1970;0;0
1971;0;0
1972;0;0
1973;0;0
1974;0;0
1975;0;0
1976;0;0
1977;0;0
1978;0;0
1979;0;0
1980;0;0
1981;0;0
1982;0;0
1983;0;0
1984;0;0
1985;0;0
1986;0;0
1987;0;0
1988;0;0
1989;0;0
1990;0;0
1991;0;0
1992;0;0
1993;0;0
1994;0;0
1995;0;0
1996;0;0
1997;0;0
1998;0;0
1999;0;0
2000;0;0
2001;0;0
2002;0;0
2003;0;0
2004;0;0
2005;0;0
2006;0;0
2007;0;0
2008;0;0
2009;0;0
2010;0;0
2011;0;0
2012;0;0
2013;0;0
2014;0;0
2015;0;0
2016;0;0
2017;0;0
2018;0;0
2019;0;0
2020;0;0
2021;0;0
2022;0;0
2023;0;0
2024;0;0
2025;0;0
2026;0;0
2027;0;0
2028;0;0
2029;0;0
2030;0;0
2031;0;0
2032;0;0
2033;0;0
2034;0;0
2035;0;0
2036;0;0
2037;0;0
2038;0;0
2039;0;0
2040;0;0
2041;0;0
2042;0;0
2043;0;0
2044;0;0
2045;0;0
2046;0;0
2047;0;0
2048;0;0
2049;0;0
2050;0;0
2051;0;0
2052;0;0
2053;0;0
2054;0;0
2055;0;0
2056;0;0
2057;0;0
2058;0;0
2059;0;0
2060;0;0
2061;0;0
2062;0;0
2063;0;0
2064;0;0
2065;0;0
2066;0;0
2067;0;0
2068;0;0
2069;0;0
2070;0;0
2071;0;0
2072;0;0
2073;0;0
2074;0;0
2075;0;0
2076;0;0
2077;0;0
2078;0;0
2079;0;0
2080;0;0
2081;0;0
2082;0;0
2083;0;0
2084;0;0
2085;0;0
2086;0;0
2087;0;0
2088;0;0
2089;0;0
2090;0;0
2091;0;0
2092;0;0
2093;0;0
2094;0;0
2095;0;0
2096;0;0
2097;0;0
2098;0;0
2099;0;0
2100;0;0
2101;0;0
2102;0;0
2103;0;0
2104;0;0
2105;0;0
2106;0;0
2107;0;0
2108;0;0
2109;0;0
2110;0;0
2111;0;0
2112;0;0
2113;0;0
2114;0;0
2115;0;0
2116;0;0
2117;0;0
2118;0;0
2119;0;0
2120;0;0
2121;0;0
2122;0;0
2123;0;0
2124;0;0
2125;0;0
2126;0;0
2127;0;0
2128;0;0
2129;0;0
2130;0;0
2131;0;0
2132;0;0
2133;0;0
2134;0;0
2135;0;0
2136;0;0
2137;0;0
2138;0;0
2139;0;0
2140;0;0
2141;0;0
